 20240328-064747,[command] python /suyu/FuxiCTR/model_zoo/MaskNet/run_expid.py --expid MaskNet_default --gpu 0,[exp_id] MaskNet_default,[dataset_id] avazu_x4,[train] N.A.,[val] logloss: 0.372194 - AUC: 0.794037,[test] logloss: 0.372077 - AUC: 0.794161
 20250512-192151,[command] python /data/STEVEN8868/FuxiCTR/model_zoo/MaskNet/run_expid_pfi_select.py --expid MaskNet_pfi_ipinyou --gpu 1,[exp_id] MaskNet_pfi_ipinyou,[dataset_id] ipinyou_x2,[train] N.A.,[val] logloss: 0.005760 - AUC: 0.780666,[test] logloss: 0.005608 - AUC: 0.767415
 20250512-192856,[command] python /data/STEVEN8868/FuxiCTR/model_zoo/MaskNet/run_expid_pfi_select.py --expid MaskNet_pfi_criteo --gpu 0,[exp_id] MaskNet_pfi_criteo,[dataset_id] criteo_x4,[train] N.A.,[val] logloss: 0.442466 - AUC: 0.809186,[test] logloss: 0.441936 - AUC: 0.809801
 20250512-194404,[command] python /data/STEVEN8868/FuxiCTR/model_zoo/MaskNet/run_expid_pfi_select.py --expid MaskNet_pfi_avazu --gpu 1,[exp_id] MaskNet_pfi_avazu,[dataset_id] avazu_x4,[train] N.A.,[val] logloss: 0.373119 - AUC: 0.791353,[test] logloss: 0.372918 - AUC: 0.791695
 20250512-202258,[command] python /data/STEVEN8868/FuxiCTR/model_zoo/MaskNet/run_expid_pfi_select.py --expid MaskNet_pfi_aliccp --gpu 1,[exp_id] MaskNet_pfi_aliccp,[dataset_id] aliccp_x4,[train] N.A.,[val] logloss: 0.163533 - AUC: 0.603892,[test] logloss: 0.163762 - AUC: 0.604165
